name,category,url,localpath
a plate of french toast with butter and berries,Unsplash+,https://plus.unsplash.com/premium_photo-1695084221958-079096c96e05?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://plus.unsplash.com/premium_photo-1695084221958-079096c96e05?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a beach with rocks and water at dusk,le Sixième Rêve,https://images.unsplash.com/photo-1715704698525-6581ceb2d32f?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715704698525-6581ceb2d32f?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a group of stars that are in the sky,Steve Busch,https://images.unsplash.com/photo-1715954410040-37496c8aa689?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715954410040-37496c8aa689?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a half moon in a dark blue sky,Luke Thornton,https://images.unsplash.com/photo-1714828099295-b799256b2be7?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1714828099295-b799256b2be7?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a bright green and blue aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora,Kristaps Ungurs,https://images.unsplash.com/photo-1715708098689-9077c95a4f89?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715708098689-9077c95a4f89?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a single red flower with a blue sky in the background,Wenhao Ruan,https://images.unsplash.com/photo-1716179276303-3869febaa84a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1716179276303-3869febaa84a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
looking up at a very tall building with a sky in the background,rawkkim,https://images.unsplash.com/photo-1716033754000-fbf7dfefabda?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1716033754000-fbf7dfefabda?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a close up of a stuffed animal with eyes,Matthieu Marseille,https://images.unsplash.com/photo-1715588561967-6d413b6690bf?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715588561967-6d413b6690bf?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
the tokyo tower is lit up at night,ZHENYU LUO,https://images.unsplash.com/photo-1716136716704-7d5f7bbb6de4?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1716136716704-7d5f7bbb6de4?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a blue and black background with wavy lines,and machines,https://images.unsplash.com/photo-1714779573250-36242918e044?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1714779573250-36242918e044?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a blue car parked in front of a snow covered mountain,Kiko Camaclang,https://images.unsplash.com/photo-1716080192370-1f1ab8f1dfc5?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1716080192370-1f1ab8f1dfc5?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a close up of a cactus plant against a red background,- Landsmann -,https://images.unsplash.com/photo-1715787803917-d25f112866fe?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715787803917-d25f112866fe?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a black background with a multicolored image of a horse,Milad Fakurian,https://images.unsplash.com/photo-1715465115658-e4272dbb0ada?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715465115658-e4272dbb0ada?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a wooden walkway in the middle of some snow,Luke Moore,https://images.unsplash.com/photo-1715358811302-e8bbdc284ace?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715358811302-e8bbdc284ace?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a lone tree sitting on top of a hill,stoked 2022,https://images.unsplash.com/photo-1715593694322-3443b8863126?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715593694322-3443b8863126?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a view of a city at night from a bridge,Chalo Gallardo,https://images.unsplash.com/photo-1715594565265-26e6b44763e2?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715594565265-26e6b44763e2?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a small island in the middle of the ocean,Jerry Kavan,https://images.unsplash.com/photo-1715852637581-0e09305ec8e1?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715852637581-0e09305ec8e1?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a blurry image of a red and blue object,Unsplash+,https://plus.unsplash.com/premium_photo-1664304519683-edde298ccc9d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://plus.unsplash.com/premium_photo-1664304519683-edde298ccc9d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a blue and red object with lines coming out of it,Unsplash+,https://plus.unsplash.com/premium_photo-1666997726532-33f671ca24c8?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://plus.unsplash.com/premium_photo-1666997726532-33f671ca24c8?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a woman with black hair wearing a red sweater,Unsplash+,https://plus.unsplash.com/premium_photo-1708110921152-850148b86156?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://plus.unsplash.com/premium_photo-1708110921152-850148b86156?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a person riding a skateboard on a blue surface,Unsplash+,https://plus.unsplash.com/premium_photo-1664352957938-9a35a0e19403?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://plus.unsplash.com/premium_photo-1664352957938-9a35a0e19403?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
