Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseStyle_Encoded,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Age
641,120,RL,62.0,12677,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2003,2004,CompShg,MetalSd,MetalSd,BrkFace,472.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1218,Unf,0,300,1518,GasA,Ex,Y,SBrkr,1518,0,0,1518,0,0,1,1,1,1,Ex,6,Typ,1,Gd,Attchd,2003.0,RFn,2,588,TA,TA,Y,185,140,0,0,0,0,Gd,MnPrv,Shed,0,4,2008,WD,Normal,274000,2,False,False,False,True,False,False,21
388,80,RL,72.0,7200,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,1976,1976,CompShg,MetalSd,MetalSd,BrkFace,255.0,TA,TA,CBlock,TA,TA,Av,ALQ,631,Unf,0,410,1041,GasA,Ex,Y,SBrkr,1125,0,0,1125,1,0,1,0,3,1,TA,6,Typ,1,Fa,Detchd,1977.0,Unf,1,352,TA,TA,Y,296,0,0,0,0,0,Gd,GdWo,Shed,0,10,2009,WD,Abnorml,125000,7,False,False,False,True,False,False,48
374,20,RL,79.0,10634,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,PConc,TA,TA,No,BLQ,428,LwQ,180,0,608,GasA,TA,Y,SBrkr,1319,0,0,1319,1,0,1,0,3,1,TA,5,Min2,0,Gd,Attchd,1953.0,Unf,1,270,TA,TA,Y,66,0,0,0,0,0,Gd,GdWo,Shed,0,11,2009,WD,Normal,123000,2,False,True,False,False,False,False,71
621,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,CompShg,Stucco,Stucco,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41,Unf,0,823,864,GasA,TA,N,FuseF,864,0,0,864,1,0,1,0,2,1,TA,5,Typ,0,Gd,Attchd,1978.5061638868744,Unf,0,0,TA,TA,N,0,0,100,0,0,0,Gd,MnPrv,Shed,0,9,2008,WD,Normal,67000,2,False,True,False,False,False,False,110
547,50,RL,70.0,8737,Pave,Grvl,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,1950,CompShg,BrkFace,Wd Sdng,BrkFace,0.0,TA,TA,BrkTil,Gd,TA,No,Rec,300,Unf,0,765,1065,GasA,Ex,Y,FuseA,915,720,0,1635,0,0,1,1,3,1,TA,6,Typ,1,Gd,Detchd,1950.0,Unf,2,440,TA,TA,Y,0,38,0,144,0,0,Gd,MnPrv,Shed,0,5,2007,WD,Normal,210000,0,False,True,False,False,False,False,101
433,160,RM,24.0,1920,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,CompShg,HdBoard,HdBoard,BrkFace,376.0,TA,TA,CBlock,TA,TA,No,ALQ,471,Unf,0,294,765,GasA,Ex,Y,SBrkr,765,600,0,1365,1,0,1,1,2,1,TA,6,Min1,0,Gd,Detchd,1971.0,Unf,2,440,TA,TA,Y,240,36,0,0,0,0,Gd,MnPrv,Shed,0,8,2007,WD,Normal,122500,5,False,True,False,False,False,False,53
1384,30,RL,70.04995836802665,25339,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1918,2007,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,816,816,GasA,Ex,Y,SBrkr,1416,0,0,1416,0,0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,2007.0,Unf,2,576,TA,TA,N,0,0,112,0,0,0,Gd,MnPrv,Shed,0,8,2007,WD,Normal,112000,2,False,True,False,False,False,False,106
195,20,RL,60.0,7180,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390,Unf,0,474,864,GasA,TA,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,0,Gd,Detchd,1989.0,Unf,1,352,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,5,2008,WD,Normal,127000,2,False,False,False,True,False,False,52
1175,70,RL,80.0,16560,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,8,1932,1950,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,BrkTil,Gd,TA,No,Rec,503,Unf,0,449,952,GasA,TA,Y,SBrkr,1170,1175,0,2345,0,0,2,1,4,1,TA,9,Typ,1,Gd,Detchd,1932.0,Unf,2,360,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,7,2006,WD,Normal,239000,5,False,True,False,False,False,False,92
1307,120,RL,48.0,6955,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,CompShg,VinylSd,VinylSd,Stone,94.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1368,1368,GasA,Ex,Y,SBrkr,1368,0,0,1368,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005.0,RFn,2,474,TA,TA,Y,132,35,0,0,0,0,Gd,MnPrv,Shed,0,9,2006,New,Partial,202500,2,False,True,False,False,False,False,19
1127,120,RL,53.0,3684,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2007,2007,CompShg,VinylSd,VinylSd,BrkFace,130.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1373,1373,GasA,Ex,Y,SBrkr,1555,0,0,1555,0,0,2,0,2,1,Gd,7,Typ,1,TA,Attchd,2007.0,Fin,3,660,TA,TA,Y,143,20,0,0,0,0,Gd,MnPrv,Shed,0,6,2009,WD,Normal,174000,2,False,False,False,True,False,False,17
876,60,FV,75.0,9000,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2007,CompShg,CemntBd,CmentBd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,64,Unf,0,1120,1184,GasA,Ex,Y,SBrkr,1184,1426,0,2610,0,0,2,1,4,1,Ex,11,Typ,1,Gd,BuiltIn,2007.0,Fin,2,550,TA,TA,Y,208,364,0,0,0,0,Gd,MnPrv,Shed,0,8,2007,New,Partial,303477,5,False,True,False,False,False,False,17
200,20,RL,76.0,9591,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,BrkFace,262.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1088,Unf,0,625,1713,GasA,Ex,Y,SBrkr,1713,0,0,1713,1,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2004.0,Fin,3,856,TA,TA,Y,0,26,0,0,170,0,Gd,MnPrv,Shed,0,1,2009,WD,Normal,274900,2,False,False,False,True,False,False,20
953,85,RL,60.0,7200,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,8,1972,2003,CompShg,WdShing,HdBoard,BrkFace,0.0,TA,Gd,CBlock,Gd,TA,Av,GLQ,660,Unf,0,108,768,GasA,Gd,Y,SBrkr,768,0,0,768,0,1,1,0,2,1,TA,5,Typ,0,Gd,Detchd,1974.0,Fin,1,396,TA,TA,Y,192,0,0,0,0,0,Gd,MnPrv,Shed,0,4,2009,WD,Normal,133900,6,False,True,False,False,False,False,52
