"1stFlrSF","2ndFlrSF","3SsnPorch","Age","Alley","BedroomAbvGr","BldgType","BsmtCond","BsmtExposure","BsmtFinSF1","BsmtFinSF2","BsmtFinType1","BsmtFinType2","BsmtFullBath","BsmtHalfBath","BsmtQual","BsmtUnfSF","CentralAir","Condition1","Condition2","Electrical","EnclosedPorch","ExterCond","ExterQual","Exterior1st","Exterior2nd","Fence","FireplaceQu","Fireplaces","Foundation","FullBath","Functional","GarageArea","GarageCars","GarageCond","GarageFinish","GarageQual","GarageType","GarageYrBlt","GrLivArea","HalfBath","Heating","HeatingQC","HouseStyle","HouseStyle_Encoded","Id","KitchenAbvGr","KitchenQual","LandContour","LandSlope","LotArea","LotConfig","LotFrontage","LotShape","LowQualFinSF","MSSubClass","MSZoning","MasVnrArea","MasVnrType","MiscFeature","MiscVal","MoSold","Neighborhood","OpenPorchSF","OverallCond","OverallQual","PavedDrive","PoolArea","PoolQC","RoofMatl","RoofStyle_Flat","RoofStyle_Gable","RoofStyle_Gambrel","RoofStyle_Hip","RoofStyle_Mansard","RoofStyle_Shed","SaleCondition","SalePrice","SaleType","ScreenPorch","Street","TotRmsAbvGrd","TotalBsmtSF","Utilities","WoodDeckSF","YearBuilt","YearRemodAdd","YrSold","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
1518,0,0,21,"Grvl",1,"TwnhsE","TA","Gd",1218,0,"GLQ","Unf",0,0,"Ex",300,"Y","Norm","Norm","SBrkr",0,"TA","Ex","MetalSd","MetalSd","MnPrv","Gd",1,"PConc",1,"Typ",588,2,"TA","RFn","TA","Attchd",2003.0,1518,1,"GasA","Ex","1Story",2,641,1,"Ex","Lvl","Gtl",12677,"Inside",62.0,"IR1",0,120,"RL",472.0,"BrkFace","Shed",0,4,"NridgHt",140,5,8,"Y",0,"Gd","CompShg",False,False,False,True,False,False,"Normal",274000,"WD",0,"Pave",6,1518,"AllPub",185,2003,2004,2008,12,"1","2024-06-02T12:36:31.696190Z",12,7.49,"Expensive","2024-06-02T12:38:33.442586Z"
1125,0,0,48,"Grvl",3,"1Fam","TA","Av",631,0,"ALQ","Unf",1,0,"TA",410,"Y","Norm","Norm","SBrkr",0,"TA","TA","MetalSd","MetalSd","GdWo","Fa",1,"CBlock",1,"Typ",352,1,"TA","Unf","TA","Detchd",1977.0,1125,0,"GasA","Ex","SLvl",7,388,1,"TA","Lvl","Gtl",7200,"Inside",72.0,"Reg",0,80,"RL",255.0,"BrkFace","Shed",0,10,"Edwards",0,6,6,"Y",0,"Gd","CompShg",False,False,False,True,False,False,"Abnorml",125000,"WD",0,"Pave",6,1041,"AllPub",296,1976,1976,2009,13,"1","2024-06-02T12:36:49.297372Z",13,2.42,"Medium","2024-06-02T12:36:49.297401Z"
1319,0,0,71,"Grvl",3,"1Fam","TA","No",428,180,"BLQ","LwQ",1,0,"TA",0,"Y","Norm","Norm","SBrkr",0,"TA","TA","MetalSd","MetalSd","GdWo","Gd",0,"PConc",1,"Min2",270,1,"TA","Unf","TA","Attchd",1953.0,1319,0,"GasA","TA","1Story",2,374,1,"TA","Lvl","Gtl",10634,"Inside",79.0,"Reg",0,20,"RL",0.0,"BrkFace","Shed",0,11,"NAmes",0,6,5,"Y",0,"Gd","CompShg",False,True,False,False,False,False,"Normal",123000,"WD",0,"Pave",5,608,"AllPub",66,1953,1953,2009,14,"1","2024-06-02T12:36:57.026550Z",14,1.803,"Medium","2024-06-02T12:36:57.026579Z"
864,0,0,110,"Grvl",2,"1Fam","TA","No",41,0,"BLQ","Unf",1,0,"TA",823,"N","Norm","Norm","FuseF",100,"TA","TA","Stucco","Stucco","MnPrv","Gd",0,"BrkTil",1,"Typ",0,0,"TA","Unf","TA","Attchd",1978.5061638868744,864,0,"GasA","TA","1Story",2,621,1,"TA","Lvl","Gtl",8248,"Inside",45.0,"Reg",0,30,"RL",0.0,"BrkFace","Shed",0,9,"Edwards",0,3,3,"N",0,"Gd","CompShg",False,True,False,False,False,False,"Normal",67000,"WD",0,"Pave",5,864,"AllPub",0,1914,1950,2008,16,"1","2024-06-02T12:37:17.794536Z",15,1.683,"Chip","2024-06-02T12:37:17.794565Z"
915,720,144,101,"Grvl",3,"1Fam","TA","No",300,0,"Rec","Unf",0,0,"Gd",765,"Y","Norm","Norm","FuseA",0,"TA","TA","BrkFace","Wd Sdng","MnPrv","Gd",1,"BrkTil",1,"Typ",440,2,"TA","Unf","TA","Detchd",1950.0,1635,1,"GasA","Ex","1.5Fin",0,547,1,"TA","Bnk","Gtl",8737,"Inside",70.0,"IR1",0,50,"RL",0.0,"BrkFace","Shed",0,5,"BrkSide",38,7,6,"Y",0,"Gd","CompShg",False,True,False,False,False,False,"Normal",210000,"WD",0,"Pave",6,1065,"AllPub",0,1923,1950,2007,15,"1","2024-06-02T12:37:03.347762Z",16,6.356,"Expensive","2024-06-02T12:37:14.426857Z"
765,600,0,53,"Grvl",2,"TwnhsE","TA","No",471,0,"ALQ","Unf",1,0,"TA",294,"Y","Norm","Norm","SBrkr",0,"TA","TA","HdBoard","HdBoard","MnPrv","Gd",0,"CBlock",1,"Min1",440,2,"TA","Unf","TA","Detchd",1971.0,1365,1,"GasA","Ex","2Story",5,433,1,"TA","Lvl","Gtl",1920,"Inside",24.0,"Reg",0,160,"RM",376.0,"BrkFace","Shed",0,8,"BrDale",36,5,5,"Y",0,"Gd","CompShg",False,True,False,False,False,False,"Normal",122500,"WD",0,"Pave",6,765,"AllPub",240,1971,1971,2007,17,"1","2024-06-02T12:37:25.361653Z",17,2.308,"Medium","2024-06-02T12:37:25.361677Z"
1416,0,0,106,"Grvl",3,"1Fam","TA","No",0,0,"Unf","Unf",0,0,"TA",816,"Y","Norm","Norm","SBrkr",112,"Gd","TA","Wd Sdng","Wd Sdng","MnPrv","Gd",0,"BrkTil",2,"Typ",576,2,"TA","Unf","TA","Attchd",2007.0,1416,0,"GasA","Ex","1Story",2,1384,1,"Gd","Lvl","Gtl",25339,"Inside",70.04995836802665,"Reg",0,30,"RL",0.0,"BrkFace","Shed",0,8,"Sawyer",0,7,5,"N",0,"Gd","CompShg",False,True,False,False,False,False,"Normal",112000,"WD",0,"Pave",7,816,"AllPub",0,1918,2007,2007,18,"1","2024-06-02T12:37:34.712560Z",18,4.075,"Medium","2024-06-02T12:37:34.712608Z"
864,0,0,52,"Grvl",3,"1Fam","TA","Av",390,0,"ALQ","Unf",0,0,"TA",474,"Y","Norm","Norm","SBrkr",0,"TA","TA","HdBoard","HdBoard","MnPrv","Gd",0,"CBlock",1,"Typ",352,1,"TA","Unf","TA","Detchd",1989.0,864,0,"GasA","TA","1Story",2,195,1,"TA","Lvl","Gtl",7180,"Inside",60.0,"IR1",0,20,"RL",0.0,"BrkFace","Shed",0,5,"CollgCr",0,7,5,"Y",0,"Gd","CompShg",False,False,False,True,False,False,"Normal",127000,"WD",0,"Pave",5,864,"AllPub",0,1972,1972,2008,19,"1","2024-06-02T12:37:37.744564Z",19,2.09,"Medium","2024-06-02T12:37:37.744608Z"
1170,1175,0,92,"Grvl",4,"1Fam","TA","No",503,0,"Rec","Unf",0,0,"Gd",449,"Y","Norm","Norm","SBrkr",0,"TA","TA","Wd Sdng","Wd Sdng","MnPrv","Gd",1,"BrkTil",2,"Typ",360,2,"TA","Unf","TA","Detchd",1932.0,2345,1,"GasA","TA","2Story",5,1175,1,"TA","Lvl","Gtl",16560,"Inside",80.0,"IR1",0,70,"RL",0.0,"BrkFace","Shed",0,7,"Crawfor",0,8,6,"Y",0,"Gd","CompShg",False,True,False,False,False,False,"Normal",239000,"WD",0,"Pave",9,952,"AllPub",0,1932,1950,2006,20,"1","2024-06-02T12:37:48.655699Z",20,2.938,"Expensive","2024-06-02T12:37:48.655723Z"
1368,0,0,19,"Grvl",2,"TwnhsE","TA","No",0,0,"Unf","Unf",0,0,"Gd",1368,"Y","Norm","Norm","SBrkr",0,"TA","Gd","VinylSd","VinylSd","MnPrv","Gd",1,"PConc",2,"Typ",474,2,"TA","RFn","TA","Attchd",2005.0,1368,0,"GasA","Ex","1Story",2,1307,1,"Gd","Lvl","Gtl",6955,"Inside",48.0,"IR1",0,120,"RL",94.0,"Stone","Shed",0,9,"NridgHt",35,5,7,"Y",0,"Gd","CompShg",False,True,False,False,False,False,"Partial",202500,"New",0,"Pave",6,1368,"AllPub",132,2005,2006,2006,21,"1","2024-06-02T12:37:55.047085Z",21,3.098,"Expensive","2024-06-02T12:37:55.047112Z"
1555,0,0,17,"Grvl",2,"TwnhsE","TA","No",0,0,"Unf","Unf",0,0,"Gd",1373,"Y","Norm","Norm","SBrkr",0,"TA","Gd","VinylSd","VinylSd","MnPrv","TA",1,"PConc",2,"Typ",660,3,"TA","Fin","TA","Attchd",2007.0,1555,0,"GasA","Ex","1Story",2,1127,1,"Gd","Lvl","Gtl",3684,"Inside",53.0,"Reg",0,120,"RL",130.0,"BrkFace","Shed",0,6,"Blmngtn",20,5,7,"Y",0,"Gd","CompShg",False,False,False,True,False,False,"Normal",174000,"WD",0,"Pave",7,1373,"AllPub",143,2007,2007,2009,22,"1","2024-06-02T12:38:03.380771Z",22,4.032,"Medium","2024-06-02T12:38:03.380798Z"
1184,1426,0,17,"Grvl",4,"1Fam","TA","Av",64,0,"GLQ","Unf",0,0,"Gd",1120,"Y","Norm","Norm","SBrkr",0,"TA","Gd","CemntBd","CmentBd","MnPrv","Gd",1,"PConc",2,"Typ",550,2,"TA","Fin","TA","BuiltIn",2007.0,2610,1,"GasA","Ex","2Story",5,876,1,"Ex","Lvl","Gtl",9000,"Inside",75.0,"Reg",0,60,"FV",0.0,"BrkFace","Shed",0,8,"Somerst",364,5,8,"Y",0,"Gd","CompShg",False,True,False,False,False,False,"Partial",303477,"New",0,"Pave",11,1184,"AllPub",208,2007,2007,2007,23,"1","2024-06-02T12:38:11.594081Z",23,3.198,"Expensive","2024-06-02T12:38:11.594117Z"
1713,0,0,20,"Grvl",3,"1Fam","TA","Av",1088,0,"GLQ","Unf",1,0,"Ex",625,"Y","Norm","Norm","SBrkr",0,"TA","Gd","VinylSd","VinylSd","MnPrv","Gd",1,"PConc",2,"Typ",856,3,"TA","Fin","TA","Attchd",2004.0,1713,0,"GasA","Ex","1Story",2,200,1,"Ex","Lvl","Gtl",9591,"Inside",76.0,"Reg",0,20,"RL",262.0,"BrkFace","Shed",0,1,"NridgHt",26,5,8,"Y",0,"Gd","CompShg",False,False,False,True,False,False,"Normal",274900,"WD",170,"Pave",7,1713,"AllPub",0,2004,2005,2009,24,"1","2024-06-02T12:38:14.279758Z",24,1.685,"Expensive","2024-06-02T12:38:14.279779Z"
768,0,0,52,"Grvl",2,"1Fam","TA","Av",660,0,"GLQ","Unf",0,1,"Gd",108,"Y","Norm","Norm","SBrkr",0,"Gd","TA","WdShing","HdBoard","MnPrv","Gd",0,"CBlock",1,"Typ",396,1,"TA","Fin","TA","Detchd",1974.0,768,0,"GasA","Gd","SFoyer",6,953,1,"TA","Lvl","Gtl",7200,"Inside",60.0,"Reg",0,85,"RL",0.0,"BrkFace","Shed",0,4,"CollgCr",0,8,5,"Y",0,"Gd","CompShg",False,True,False,False,False,False,"Normal",133900,"WD",0,"Pave",5,768,"AllPub",192,1972,2003,2009,25,"1","2024-06-02T12:38:23.393756Z",25,2.562,"Medium","2024-06-02T12:38:23.393788Z"
